Age,Contacts_x_ResolutionTime,Customer_Support_Contacts,Days_Since_Last_Purchase,Purchase_Count,Resolution_Delay_Ratio,Resolution_Time_Hours,Support_Efficiency_Score,Total_Spent,tfidf_and,tfidf_expected,tfidf_great,tfidf_is,tfidf_its,tfidf_no,tfidf_not,tfidf_of,tfidf_on,tfidf_than,tfidf_to,Country_Australia,Country_Canada,Country_Ireland,Country_USA,Country_United Kingdom,Country_Unknown,Gender_Female,Gender_Male,Gender_Unknown
1.125,1.583461472749018,0.5,0.7155963302752294,0.0,-0.5539724153653255,1.013691845038033,-0.34938001458789164,-0.1042855512440082,1.8685339438675586,0.0,0.0,0.0,0.0,0.0,0.0,1.1961788860936091,0.0,0.0,0.6798825254759739,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
-0.3125,0.22689219203827102,1.0,0.6697247706422018,0.75,1.0710133363729626,-0.11604457810012382,-0.4507658643326036,-0.09646770143802781,1.025670296246024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12602259166200772,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
-0.875,-0.2838016246524704,-0.5,-0.6146788990825688,0.25,2.804057904935598,-0.3818149655050416,0.835886214442014,0.07036635471353568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3417254826761313,0.0,0.0,-0.5479626774818499,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-0.9375,0.37202367084478827,0.0,-0.5412844036697247,-0.25,0.3155135073521031,0.34841676985671327,0.23486506199854124,-0.5213136270257931,0.6798400493907738,0.0,0.0,0.8316151877815633,0.6294298828008146,0.2177998961659761,0.0,0.8704260531857059,1.2123125258500516,0.0,-0.10122830256581297,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.6875,-0.22540111520121775,-0.5,-0.3394495412844037,-0.25,0.6830046734298415,-0.24878825402441182,0.8001458789204963,0.43456402647797315,0.0,0.0,0.2188324943225787,2.4289839812505902,0.0,0.0,0.0,1.6948952441102643,1.180308612614663,0.0,0.7568603422127728,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0625,4.460059332432475,0.0,0.26605504587155965,-0.25,-0.5174968653824233,5.004351671678755,-1.0175054704595192,0.032521113900935865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5479626774818499,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.3125,-0.13307860770700342,0.0,0.26605504587155965,0.75,0.9583950758007523,-0.22685299840792503,0.3894967177242893,1.4620006847751652,0.8935776872943245,0.0,0.2954312264777053,1.0930700197533398,0.0,0.2862748784561061,0.0,1.1440827886845077,1.5934563197590452,0.0,0.039222308060082575,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.125,0.0,0.0,0.22935779816513763,-1.0,0.0,0.0,0.0,-0.42893745720155213,0.948376452493795,0.2958634226187116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2926847669924493,-0.5479626774818499,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
-0.1875,-0.08238199524719259,0.0,1.0091743119266054,1.0,-0.1960560811580987,-0.16911374491420486,0.37345003646973063,-0.07244350604884732,1.762094888077796,0.274858903969383,0.0,0.0,0.271905913722067,0.0,0.0,0.0,0.0,0.271905913722067,0.03098847365554118,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0.4375,0.2385101657269777,-0.5,-0.1651376146788991,-0.5,0.07568676621452185,0.8079249955775696,0.5164113785557988,1.1962052042912577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5479626774818499,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
